message,freq,data,authors,retweeted_authors
"rt @laitspa: a #pasocial si parla di emergenze, intanto è partito il nue112 di @regionelazio @lorigaf @galvit2  @antsalerno https://t.co/wm…",8,2015-11-17,lorigaf,
"rt @marchetourism: ""se non c'è comunicazione non c'è cambiamento né innovazione."" #pasocial @marcobani di @agidgov",8,2015-11-17,FalcionelliFede,
rt @opentoscana: iniziano gli stati generali della nuova comunicazione pubblica sulla figura del social media manager. #pasocial https://t.…,8,2015-11-17,radioitaliacina,
rt @tosochris: la tecnologia al servizio della comunicazione al servizio del cittadino. un mezzo non un fine! #pasocial,8,2015-11-17,Crispatola,
rt @tosochris: riunire in un convegno #twitter #facebook e #google dimostra che è possibile unire le forze quando serve. #pasocial https://…,8,2015-11-17,gborruso,
rt @unitwitts: le immagini sono importanti per una buona comunicazione: alla camera ora c'è un grafico che le realizza #pasocial https://t.…,8,2015-11-17,belcinque,
rt @alemiglioz: #pasocial al via! per parlare di buone pratiche ed esperienze social della pa https://t.co/l2nbpql8fs,7,2015-11-17,alelovari,
"rt @anansecommunica: 'prima di interrogarci sulla figura del smm, cerchiamo dei social media strategist' #pasocial @marcolaudonio https://t…",7,2015-11-17,la_pacchioni,
"rt @andmarru: a #pasocial tocca ai social di governo e ministeri, grande interesse per capire come avvicinare cittadini a istituzioni più '…",7,2015-11-17,belcinque,
rt @andmarru: palazzo è più trasparente con social bravi smm di @palazzo_chigi @mipaafsocial @miursocial che stanno rivoluzionando comunica…,7,2015-11-17,alelovari,
rt @andreacritico: esperienza @cnrexpolab utile riferimento su come definire piano editoriale #pasocial #expo2015  https://t.co/r1tuuot8sn,7,2015-11-17,PiantePopoli,
rt @calvanomarzia: @alemiglioz oggi  a #pasocial si è creata una community dove prendere informazioni per migliorare il nostro lavoro,7,2015-11-17,RiccioDel,
rt @calvanomarzia: elaborare una strategia social media dà immediatezza e freschezza ai contenuti ministeriali #pasocial @alemiglioz https:…,7,2015-11-17,CittadinidiTwtt,
